Cowbell Classic 2012
Joint Summit 2012
ACCUC
Santa Barbara Invitational
T-Town Throwdown 8
Warm Up: A Florida Affair (Hosted by USF)
Music City Tune Up
Trouble in Corvegas
Big D in little d
Queen City Tune Up
Beenanza 2012
Presidents' Day Classic - Open
Mardi Gras XXV Sunday
Free State Classic
Hellfish Bonanza '12
Hendrix Ultimate Experience
Stanford Open
Denison Disc-Throw Inferno
Easterns Qualifier 2012
Midwest Throwdown (Open)
Nut Buster VII
PhilaU's Hucktastic Invitational
Stanford Invite
Trouble in Vegas 2012
Woodside Invite
High Tide Session I
Atlantic City Invite II
Tally Classic VII
Crosstown Showdown
Centex 2012
College Southerns XI (men)
Dirty Bird Open
PLU BBQ 2012
High Tide Session III
College Easterns 2012
17th Annual Layout Pigout
Boogie Nights
Bring The Huckus III
College Terminus - Open
D-1337
Flint Michigan Megabowl (DC Tune-Up)
Huck Finn
Kenyon Spring Invite
Rocky Mountain Invitational
Steakfest '12
Yale Cup 2012
Sky My Disc
Chicago Invite 2012
Threeway by the Freeway
Freaknik 2012
Garden State Open II
Heart of Texas Huckfest
New England Open 2012
Roll Call
Roll Call 2012
Someday Ultimate Tournament
